_id,Protocol,Department Longname,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e)
1,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2005,734.5620852323838
2,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2006,734.5620852323838
3,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2007,184.0
4,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2008,128.0
5,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2009,165.0
6,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2010,172.0
7,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2011,198.0
8,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2012,209.0
9,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2013,260.0
10,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2014,161.0
11,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2015,175.0
12,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2016,734.5620852323838
13,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2017,734.5620852323838
14,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2018,734.5620852323838
15,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2019,734.5620852323838
16,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2020,734.5620852323838
17,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,2,2021,734.5620852323838
18,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2005,734.5620852323838
19,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2006,734.5620852323838
20,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2007,734.5620852323838
21,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2008,3.0
22,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2009,5.0
23,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2010,4.0
24,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2011,6.0
25,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2012,4.0
26,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2013,5.0
27,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2014,734.5620852323838
28,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2015,734.5620852323838
29,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2016,734.5620852323838
30,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2017,734.5620852323838
31,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2018,734.5620852323838
32,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2019,734.5620852323838
33,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2020,734.5620852323838
34,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",3,4,2021,734.5620852323838
35,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2005,734.5620852323838
36,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2006,734.5620852323838
37,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2007,734.5620852323838
38,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2008,734.5620852323838
39,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2009,233.0
40,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2010,217.0
41,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2011,220.0
42,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2012,185.0
43,ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",0,5,2013,228.0
