Country,AverageTemperature
Africa,24.873064319309012
Australia,22.194113922483616
Bangladesh,25.43872106534076
Belgium,10.707842097086793
Brazil,25.50150876375346
Canada,4.169565051020408
China,7.777423446293142
Colombia,25.399955192324885
Denmark (Europe),9.117820271689967
Egypt,23.672980985975677
France (Europe),11.549219081213776
Germany,9.450308366928061
Greece,15.819131779626474
Iceland,2.6861297954994905
India,24.665334160578855
Israel,20.76615757327727
Japan,12.880810351055047
Russia,6.666361359915903
Switzerland,8.273584160578855
United Arab Emirates,29.038828208197906
United States,9.791496031746032
